omega_left,omega_right,delta_omega,omega_mean,n_trials,m_final_mean,m_final_sem,m_final_ci_low,m_final_ci_high,m_common_mean,m_common_sem,m_common_ci_low,m_common_ci_high,p_value_vs_zero,positive_wins,negative_wins,neutral_runs,phase_R_mean,A_T0_mean_m,D_T0_mean,q_value_BH
0.5,0.5,0.0,0.5,14,-0.21034458705357145,0.25492436758240433,-0.6753510974702381,0.2960960751488095,-0.09951836366056842,0.11165199437419585,-0.3187599431455525,0.10920777307505022,0.42418318292333634,5,7,2,0.9407746151077078,0.04911297233737245,0.9371945997741532,0.5220716097517986
0.5,0.8,-0.30000000000000004,0.65,14,-0.8619268508184524,0.0505612678149576,-0.948486328125,-0.762452625093006,-0.18240877894126403,0.033524110582205044,-0.24474278440217237,-0.11903966196667473,2.821324804129673e-10,0,9,5,0.24579322343045304,0.043758381648557866,0.36505152127376495,6.448742409439253e-10
0.5,1.0,-0.5,0.75,12,-0.8916965060763888,0.05377728494237343,-0.9832356770833334,-0.7836574978298612,-0.15676062091503268,0.049981117482864997,-0.24902542380206202,-0.05871912804564103,3.951238435600463e-09,0,9,3,0.12263235720521022,0.03840421568230366,0.4013591272907442,7.902476871200926e-09
0.5,3.0,-2.5,1.75,12,0.553219265407986,0.09073205157391141,0.3853764004177518,0.7186716715494791,0.023618876804193903,0.031341501303713694,-0.03288893190604151,0.0824515315702018,7.76726785349016e-05,2,0,10,0.018820558674216937,0.03304616100383255,0.047822429056928885,0.00012427628565584255
0.8,0.5,0.30000000000000004,0.65,14,0.9636928013392857,0.025733868218130024,0.9073893229166667,1.0,0.1546186915521417,0.03733344393294982,0.0831468726406578,0.22116338906167915,1.254031532783727e-14,12,0,2,0.1837313343241329,0.03865797112301952,0.38115513743686613,3.991246082868954e-14
0.8,0.8,0.0,0.8,14,0.10909598214285714,0.2510538047028008,-0.364840843563988,0.5943562825520827,0.08119784372082166,0.12686909274113037,-0.15584230111315361,0.3243541414775544,0.6710134637831554,7,5,2,0.9268648103173346,0.03266103540761744,0.8119282592182735,0.6710134637831554
0.8,1.0,-0.19999999999999996,0.9,12,0.22738986545138892,0.10180185946902381,0.043671925862630225,0.4234161376953125,0.025151736855766615,0.042465824438849165,-0.054112403221379696,0.10508437977377363,0.047223476903134096,0,0,12,0.14847402804025395,0.026485470638302668,0.4404262752468226,0.06296463587084546
0.8,3.0,-2.2,1.9,12,1.0,0.0,1.0,1.0,0.30386033400990603,0.028309555446073758,0.25429463438478683,0.3617068355119825,0.0,12,0,0,0.024789251937311296,0.02621247400691853,0.3132671921802657,0.0
1.0,0.5,0.5,0.75,14,1.0,0.0,1.0,1.0,0.2672430870134512,0.035503290501219364,0.2023344209102912,0.3369968531846332,0.0,14,0,0,0.1264813030180695,0.042325711077651824,0.44096509626638125,0.0
1.0,0.8,0.19999999999999996,0.9,12,0.8699205186631945,0.09279519228890407,0.65771484375,1.0,0.1485767239838644,0.047284540097145854,0.05706531965135229,0.23063125277916072,1.404008861458562e-06,10,0,2,0.15668165801811276,0.03061578043267496,0.4314004079667078,2.49601575370411e-06
1.0,1.0,0.0,1.0,12,0.1668701171875,0.29661151221228216,-0.3341386583116319,0.6668701171875,0.12467993110872821,0.12485819648864535,-0.11134470522014149,0.35522076974507244,0.5849983674474629,7,5,0,0.9238979845360057,0.026221117719548756,0.8919384885551249,0.6239982586106271
1.0,3.0,-2.0,2.0,12,1.0,0.0,1.0,1.0,0.3902264098456223,0.021065565633109972,0.35150675887895305,0.43102251937965946,0.0,12,0,0,0.02910577590550052,0.022441741566599147,0.49232286853982954,0.0
3.0,0.5,2.5,1.75,14,-0.04087902250744048,0.06914648619670567,-0.16712770007905506,0.09328424362909224,-0.008405868857959851,0.02050167114026661,-0.04820091183446035,0.029626648633086033,0.5645286408576605,0,0,14,0.015315375078210918,0.030625434320249327,0.057188779304193714,0.6239982586106271
3.0,0.8,2.2,1.9,12,-0.9784003363715278,0.018662165133314906,-0.9987386067708334,-0.9403954399956598,-0.20401100707209965,0.02441279270611299,-0.25019983528486267,-0.15833150327595233,1.496717281075858e-14,0,11,1,0.029568652221907504,0.024458833001739348,0.3044235516770401,3.991246082868954e-14
3.0,1.0,2.0,2.0,12,-0.999267578125,0.0007324218750000001,-1.0,-0.997802734375,-0.23533141690921164,0.018422909516812875,-0.2715703428181168,-0.2021552274949151,4.1201042320772964e-30,0,12,0,0.030442078520398878,0.020421327190634646,0.3553516433250295,1.6480416928309186e-29
3.0,3.0,0.0,3.0,12,0.3306410047743056,0.13222983137500238,0.05683135986328128,0.5444556342230903,0.0401242989600354,0.026415975908934856,-0.014295972770075908,0.08562063080033439,0.029480039539463185,0,1,11,0.9395480630596097,0.002897771199544271,0.5351036760235623,0.04288005751194645
