time,cargo x,cargo y,cargo z,cargo alpha,cargo beta,cargo gamma,phi1,phi2,phi3,phi4,current1,current2,current3,current4,r1 x,r1 y,r1 z,r2 x,r2 y,r2 z,r3 x,r3 y,r3 z,r4 x,r4 y,r4 z
-6,-0.0354397,-0.128633738,0.06131902,-0.001124067,0.000656887,-0.008868545,2.860938842,5.920571828,0.626959332,2.127219225,0.538953624,0.487590182,0.588786122,0.460000098,0.869009435,0.618248343,0.823679268,-0.84867835,-0.914358377,0.71614033,-0.897826016,-0.79996109,0.768130481,-0.78555274,2.383341789,-2.356642485
-5,-0.035457913,-0.128668159,0.066764474,-0.00064475,0.000377725,-0.008871723,2.903301915,5.97016958,0.675512046,2.187219225,0.539752954,0.488407707,0.589468767,0.460979428,0.868934035,0.618204892,0.823678792,-0.848684251,-0.914340973,0.716083586,-0.89799118,-0.800132632,0.768134415,-0.785552204,2.383441448,-2.356590986
-4,-0.035484958,-0.128699973,0.070657156,-0.000302369,0.000178486,-0.008887136,2.945759812,6.020705908,0.724454109,2.247219225,0.540475509,0.489055002,0.590470843,0.46254231,0.868935108,0.618216753,0.823674262,-0.848681808,-0.914669394,0.716376662,-0.898692489,-0.800850809,0.768155634,-0.785552025,2.383651972,-2.356354952
-3,-0.035575539,-0.128721431,0.072592601,-0.000127097,4.47E-05,-0.008921568,2.988354916,6.072384162,0.773783985,2.307219225,0.54097709,0.489447151,0.591581759,0.46362411,0.868977308,0.618257344,0.823666275,-0.848674417,-0.915314853,0.716976762,-0.899311662,-0.801465929,0.768169582,-0.785551608,2.38400054,-2.356042862
-2,-0.035777092,-0.128747061,0.073545754,-3.66E-05,-8.53E-05,-0.008993159,3.031140708,6.125388038,0.823502493,2.367219225,0.541389983,0.489753586,0.592449791,0.465224553,0.869014323,0.618293285,0.823657215,-0.848665893,-0.915939391,0.717568219,-0.900474668,-0.802658856,0.768181205,-0.78555131,2.384332895,-2.355574846
-1,-0.03634904,-0.128875554,0.074095346,-3.34E-05,-0.000337392,-0.009280691,3.074173995,6.179871943,0.87361306,2.427219225,0.542074322,0.490221243,0.59343024,0.466688751,0.869037867,0.618316531,0.823646724,-0.848656058,-0.916852057,0.718434215,-0.901863456,-0.804074824,0.768187761,-0.785551012,2.384624958,-2.35520339
0,-0.037291363,-0.129072726,0.074374937,1.92E-05,-0.000489052,-0.009768025,3.117519581,6.235945284,0.92412393,2.487219225,0.54300822,0.490839897,0.594443497,0.467533369,0.869045913,0.618325055,0.82363379,-0.848644197,-0.917984426,0.719463527,-0.903070509,-0.805311143,0.768190622,-0.785550594,2.384907722,-2.354936838
1,-0.038541816,-0.129254594,0.074302249,-0.000252893,5.32E-05,-0.010560001,3.161250787,0.010469314,0.97504914,2.547219225,0.543934523,0.491553866,0.59537466,0.468870177,0.869038045,0.618318379,0.823618054,-0.848629713,-0.91921407,0.720617712,-0.904725254,-0.80699122,0.768190742,-0.785550058,2.385234356,-2.354928255
2,-0.03967442,-0.129388332,0.074398711,-7.14E-05,-0.000394992,-0.01108473,3.205438444,0.069782903,1.026411687,2.607219225,0.544964182,0.492349731,0.59679805,0.470355806,0.869017184,0.618299365,0.823599279,-0.848612368,-0.92081213,0.722091079,-0.906543314,-0.808847904,0.768189371,-0.785549402,2.38613534,-2.354508638
3,-0.041141935,-0.129402399,0.074148595,-0.000249673,0.000470409,-0.011866468,3.250152895,0.129782903,1.078243109,2.667219225,0.545846486,0.493242727,0.598296036,0.472008337,0.868988574,0.618273318,0.823585033,-0.84859997,-0.922676146,0.723780751,-0.908445239,-0.810818076,0.768187582,-0.785547912,2.387147427,-2.353787661
